ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
116.00	900.00	709.00	0.00	485.00	31990.00	0.72	1.44	2.26	700.00	31990.00	65.96	25.00	112.00	25.86	668.57	8.20	0.00	65.96	0.00	0.00	0.00	0.73	485.00	4.29	0.03	0.00	9.46	0.09	138.93	-10980.95	9130899.00	
117.00	1295.00	347.00	0.00	482.00	23962.00	0.81	1.72	2.81	620.00	23962.00	49.71	21.00	71.00	13.86	192.11	5.88	0.00	49.71	0.00	0.00	0.00	0.75	482.00	4.26	0.00	0.00	8.82	0.17	61.91	-5496.65	669810.31	
118.00	854.00	185.00	0.00	481.00	27091.00	0.73	1.46	2.55	648.00	27091.00	56.32	25.00	89.00	19.08	364.10	6.92	0.00	56.32	0.00	0.00	0.00	0.73	481.00	4.25	0.01	0.00	9.14	0.15	93.25	-10709.86	2466097.75	
119.00	1090.00	398.00	0.00	481.00	29927.00	0.80	1.65	2.60	644.00	29927.00	62.22	25.00	108.00	25.02	626.09	8.97	0.00	62.22	0.00	0.00	0.00	0.76	481.00	4.25	0.00	0.00	9.37	0.08	148.92	-1176.18	7681635.00	
120.00	426.00	419.00	0.00	478.00	33316.00	0.29	1.05	0.61	552.00	33316.00	69.70	23.00	124.00	29.38	863.05	9.53	0.00	69.70	0.00	0.00	0.00	0.68	478.00	4.23	0.02	0.00	9.45	0.10	99.63	2436.00	16959520.00	
121.00	465.00	476.00	0.00	478.00	31955.00	0.68	1.37	2.82	567.00	31955.00	66.85	25.00	121.00	30.09	905.14	9.97	0.00	66.85	0.00	0.00	0.00	0.71	478.00	4.23	0.00	0.00	9.50	0.07	153.31	26291.59	17136826.00	
122.00	191.00	507.00	0.00	477.00	32016.00	0.41	1.10	0.78	576.00	32016.00	67.12	25.00	120.00	27.74	769.55	9.54	0.00	67.12	0.00	0.00	0.00	0.67	477.00	4.22	0.00	0.00	9.41	0.12	100.26	5080.75	13210003.00	
123.00	983.00	36.00	0.00	476.00	28511.00	0.68	1.36	2.42	625.00	28511.00	59.90	25.00	113.00	25.53	651.79	8.12	0.00	59.90	0.00	0.00	0.00	0.71	476.00	4.21	0.02	0.00	9.43	0.09	103.06	41800.37	11118290.00	
124.00	916.00	325.00	0.00	476.00	31047.00	0.62	1.28	2.10	598.00	31047.00	65.22	25.00	115.00	27.97	782.54	9.17	0.00	65.22	0.00	0.00	0.00	0.69	476.00	4.21	0.01	0.00	9.38	0.09	131.46	16755.11	12518556.00	
125.00	1267.00	533.00	0.00	476.00	35504.00	0.57	1.21	2.19	552.00	35504.00	74.59	25.00	128.00	33.05	1092.10	10.09	0.00	74.59	0.00	0.00	0.00	0.71	476.00	4.21	0.02	0.00	9.44	0.06	156.06	-9711.29	24029446.00	
