ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
1.00	1293.00	167.00	0.00	1042.00	87726.00	0.91	2.47	2.34	1980.00	87726.00	84.19	25.00	185.00	43.39	1882.61	11.40	0.00	84.19	0.00	0.00	0.00	1.14	1042.00	9.21	0.01	0.00	10.50	0.04	309.00	202389.77	101834008.00	
2.00	1197.00	147.00	0.00	1004.00	112228.00	0.29	1.04	2.59	1806.00	112228.00	111.78	22.00	255.00	67.67	4579.45	13.37	0.00	111.78	0.00	0.00	0.00	0.80	1004.00	8.88	0.04	0.00	10.47	0.04	471.08	369641.62	535378336.00	
3.00	700.00	142.00	0.00	872.00	78180.00	0.65	1.31	0.94	1221.00	78180.00	89.66	25.00	207.00	55.54	3084.39	12.58	0.00	89.66	0.00	0.00	0.00	0.82	872.00	7.71	0.01	0.00	10.25	0.09	161.49	693723.69	283220576.00	
4.00	1215.00	123.00	0.00	853.00	83038.00	0.56	1.21	0.83	1260.00	83038.00	97.35	24.00	243.00	58.27	3395.01	12.05	0.00	97.35	0.00	0.00	0.00	0.79	853.00	7.54	0.03	0.00	10.22	0.07	251.50	324088.16	279294720.00	
5.00	962.00	824.00	0.00	827.00	57584.00	0.55	1.20	0.64	1292.00	57584.00	69.63	24.00	132.00	29.03	842.72	6.99	0.00	69.63	0.00	0.00	0.00	0.79	827.00	7.31	0.03	0.00	9.97	0.09	72.12	18232.43	18648346.00	
6.00	1097.00	144.00	0.00	807.00	44643.00	0.75	1.50	2.35	1122.00	44643.00	55.32	23.00	121.00	25.37	643.71	6.64	0.00	55.32	0.00	0.00	0.00	0.86	807.00	7.14	0.01	0.00	9.82	0.09	76.37	76830.95	14375014.00	
7.00	721.00	776.00	0.00	807.00	59502.00	0.67	1.34	2.79	1008.00	59502.00	73.73	25.00	151.00	34.48	1189.00	8.97	0.00	73.73	0.00	0.00	0.00	0.81	807.00	7.14	0.01	0.00	10.11	0.08	111.42	111514.16	42116128.00	
8.00	711.00	523.00	0.00	802.00	47441.00	0.79	1.65	2.08	1248.00	47441.00	59.15	25.00	127.00	27.32	746.17	6.93	0.00	59.15	0.00	0.00	0.00	0.86	802.00	7.09	0.02	0.00	9.91	0.13	99.13	86919.56	17464188.00	
9.00	988.00	354.00	0.00	769.00	66555.00	0.60	1.25	2.87	952.00	66555.00	86.55	25.00	167.00	39.88	1590.77	9.84	0.00	86.55	0.00	0.00	0.00	0.80	769.00	6.80	0.02	0.00	10.17	0.11	149.39	-11079.65	63099864.00	
10.00	957.00	210.00	0.00	751.00	55225.00	0.78	1.61	2.89	962.00	55225.00	73.54	24.00	147.00	33.78	1141.18	8.65	0.00	73.54	0.00	0.00	0.00	0.84	751.00	6.64	0.03	0.00	10.08	0.10	117.03	80052.13	35469724.00	
11.00	1015.00	440.00	0.00	748.00	54404.00	0.79	1.64	1.91	1134.00	54404.00	72.73	23.00	160.00	39.15	1532.78	10.56	0.00	72.73	0.00	0.00	0.00	0.85	748.00	6.61	0.03	0.00	10.05	0.08	206.23	271533.94	75544616.00	
12.00	515.00	604.00	0.00	732.00	45733.00	0.45	1.12	3.00	992.00	45733.00	62.48	23.00	124.00	26.27	690.02	7.21	0.00	62.48	0.00	0.00	0.00	0.75	732.00	6.47	0.01	0.00	9.89	0.14	72.44	40453.64	13553548.00	
13.00	489.00	106.00	0.00	730.00	41370.00	0.70	1.40	2.45	960.00	41370.00	56.67	25.00	111.00	24.73	611.79	6.66	0.00	56.67	0.00	0.00	0.00	0.81	730.00	6.45	0.00	0.00	9.68	0.11	72.74	42427.79	10059664.00	
14.00	951.00	278.00	0.00	723.00	37382.00	0.80	1.65	2.30	1155.00	37382.00	51.70	23.00	101.00	20.71	429.06	6.20	0.00	51.70	0.00	0.00	0.00	0.86	723.00	6.39	0.01	0.00	9.69	0.12	79.01	32063.75	5159279.00	
15.00	1179.00	170.00	0.00	705.00	69781.00	0.49	1.15	2.64	1023.00	69781.00	98.98	23.00	201.00	58.59	3432.49	13.29	0.00	98.98	0.00	0.00	0.00	0.75	705.00	6.23	0.04	0.00	10.01	0.04	415.44	274400.34	260954992.00	
