ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
279.00	1279.00	181.00	0.00	238.00	14553.00	0.68	1.37	1.07	340.00	14553.00	61.15	25.00	123.00	29.72	883.06	9.56	0.00	61.15	0.00	0.00	0.00	0.61	238.00	2.10	0.07	0.00	8.54	0.07	146.49	86601.16	19195304.00	
280.00	1296.00	614.00	0.00	238.00	12630.00	0.79	1.62	2.18	320.00	12630.00	53.07	22.00	79.00	14.86	220.88	5.35	0.00	53.07	0.00	0.00	0.00	0.65	238.00	2.10	0.09	0.00	8.25	0.19	44.43	-5172.04	1171860.25	
281.00	120.00	133.00	0.00	237.00	8267.00	0.22	1.03	1.11	306.00	8267.00	34.88	25.00	57.00	7.40	54.71	3.44	0.00	34.88	0.00	0.00	0.00	0.60	237.00	2.10	0.07	0.01	7.59	0.23	26.76	1912.83	101212.55	
282.00	848.00	187.00	0.00	237.00	13849.00	0.74	1.49	1.85	294.00	13849.00	58.43	25.00	87.00	18.82	354.12	7.29	0.00	58.43	0.00	0.00	0.00	0.63	237.00	2.10	0.04	0.00	8.29	0.14	105.40	-14104.24	2282347.50	
283.00	446.00	289.00	0.00	237.00	13152.00	0.70	1.41	2.96	352.00	13152.00	55.49	25.00	87.00	19.06	363.14	6.63	0.00	55.49	0.00	0.00	0.00	0.60	237.00	2.10	0.08	0.00	8.35	0.20	22.80	-4650.39	3085453.25	
284.00	539.00	376.00	0.00	237.00	12955.00	0.72	1.45	1.29	352.00	12955.00	54.66	25.00	86.00	17.84	318.33	6.78	0.00	54.66	0.00	0.00	0.00	0.60	237.00	2.10	0.05	0.00	8.41	0.11	80.64	-2984.99	1912682.25	
285.00	43.00	846.00	0.00	236.00	11407.00	0.77	1.57	1.09	300.00	11407.00	48.33	24.00	68.00	12.27	150.56	4.08	0.00	48.33	0.00	0.00	0.00	0.65	236.00	2.09	0.06	0.00	7.93	0.26	13.08	-5126.83	567493.75	
286.00	271.00	106.00	0.00	235.00	12103.00	0.89	2.21	1.83	325.00	12103.00	51.50	25.00	73.00	12.67	160.57	4.82	0.00	51.50	0.00	0.00	0.00	0.71	235.00	2.08	0.08	0.00	8.00	0.21	41.74	-5267.09	590618.62	
287.00	167.00	479.00	0.00	234.00	11227.00	0.78	1.61	1.04	336.00	11227.00	47.98	25.00	68.00	12.97	168.31	4.73	0.00	47.98	0.00	0.00	0.00	0.63	234.00	2.07	0.05	0.01	7.86	0.24	27.21	-5119.88	579836.38	
288.00	1087.00	348.00	0.00	233.00	12805.00	0.74	1.48	0.42	360.00	12805.00	54.96	25.00	121.00	28.22	796.42	8.59	0.00	54.96	0.00	0.00	0.00	0.63	233.00	2.06	0.07	0.00	8.39	0.11	114.53	120992.90	20256842.00	
289.00	804.00	526.00	0.00	232.00	13989.00	0.87	2.06	0.77	378.00	13989.00	60.30	23.00	108.00	26.66	710.69	8.54	0.00	60.30	0.00	0.00	0.00	0.72	232.00	2.05	0.08	0.00	8.42	0.14	73.86	31419.34	11850151.00	
290.00	409.00	239.00	0.00	231.00	7361.00	0.71	1.42	2.69	285.00	7361.00	31.87	24.00	45.00	5.34	28.46	2.51	0.00	31.87	0.00	0.00	0.00	0.60	231.00	2.04	0.02	0.01	7.13	0.30	9.90	421.07	19460.52	
291.00	392.00	641.00	0.00	231.00	13898.00	0.67	1.36	1.55	336.00	13898.00	60.16	25.00	93.00	22.46	504.53	8.47	0.00	60.16	0.00	0.00	0.00	0.59	231.00	2.04	0.05	0.00	8.27	0.12	153.25	-12352.50	4231113.00	
292.00	365.00	475.00	0.00	230.00	7647.00	0.71	1.42	2.61	270.00	7647.00	33.25	25.00	46.00	5.33	28.38	2.19	0.00	33.25	0.00	0.00	0.00	0.62	230.00	2.03	0.06	0.01	7.01	0.42	7.89	275.58	22181.70	
293.00	423.00	129.00	0.00	229.00	7039.00	0.79	1.65	1.85	322.00	7039.00	30.74	25.00	39.00	3.54	12.56	1.67	0.00	30.74	0.00	0.00	0.00	0.65	229.00	2.02	0.05	0.02	6.27	0.46	3.83	60.31	3686.59	
294.00	694.00	91.00	0.00	228.00	6871.00	0.73	1.46	2.27	289.00	6871.00	30.14	24.00	37.00	3.28	10.78	1.59	0.00	30.14	0.00	0.00	0.00	0.61	228.00	2.02	0.06	0.02	6.27	0.45	3.80	-21.70	2761.80	
295.00	1114.00	518.00	0.00	228.00	7951.00	0.66	1.33	2.21	360.00	7951.00	34.87	25.00	47.00	6.11	37.34	3.01	0.00	34.87	0.00	0.00	0.00	0.57	228.00	2.02	0.03	0.01	7.38	0.21	15.69	-81.97	24881.94	
296.00	80.00	559.00	0.00	227.00	6646.00	0.66	1.33	2.14	320.00	6646.00	29.28	24.00	37.00	2.91	8.44	1.39	0.00	29.28	0.00	0.00	0.00	0.60	227.00	2.01	0.05	0.03	5.74	0.48	3.39	25.45	1598.30	
297.00	104.00	69.00	0.00	226.00	9179.00	0.75	1.51	2.21	288.00	9179.00	40.62	25.00	61.00	9.98	99.65	3.37	0.00	40.62	0.00	0.00	0.00	0.63	226.00	2.00	0.07	0.01	7.85	0.19	18.29	1183.04	227933.45	
298.00	133.00	124.00	0.00	226.00	7847.00	0.42	1.10	2.22	306.00	7847.00	34.72	25.00	51.00	6.54	42.76	2.80	0.00	34.72	0.00	0.00	0.00	0.60	226.00	2.00	0.08	0.01	7.45	0.23	16.40	860.69	50901.89	
299.00	1046.00	259.00	0.00	225.00	10056.00	0.65	1.32	0.23	320.00	10056.00	44.69	25.00	73.00	14.89	221.81	5.34	0.00	44.69	0.00	0.00	0.00	0.60	225.00	1.99	0.04	0.00	8.11	0.12	46.48	6014.39	1091870.62	
